session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
bnwhita6,12,edbc27pr,11,filler,Intro,1605553219,1,0,0
hap6zgo3,7,l1reowvo,13,filler,Result,1605553221,1,0,0
hap6zgo3,9,3x99ecn2,4,survey,Part2,1605553222,1,0,0
hap6zgo3,5,fp3vawu4,6,survey,Part4,1605553223,1,0,0
hap6zgo3,6,m0c2chrw,6,survey,Part4,1605553228,1,0,0
bnwhita6,11,8vaspqqx,5,survey,Part3,1605553228,1,0,0
hap6zgo3,7,l1reowvo,14,ios_discrete_pictures,Intro,1605553229,1,0,0
hap6zgo3,7,l1reowvo,15,ios_discrete_pictures,Task,1605553234,1,0,0
hap6zgo3,7,l1reowvo,16,outro,Feedback,1605553237,1,0,0
bnwhita6,2,ixyuw6pl,8,display_matches_narrative,Task,1605553237,1,0,0
morw9hf0,8,0b4jcmgv,3,survey,Part1,1605553238,1,0,0
bnwhita6,10,vfvk3rlg,14,ios_discrete,Intro,1605553239,1,0,0
bnwhita6,7,2ch2eu7u,7,display_matches_narrative,Intro,1605553245,1,0,0
morw9hf0,11,xobvj375,3,survey,Part1,1605553245,1,0,0
bnwhita6,10,vfvk3rlg,15,ios_discrete,Task,1605553246,1,0,0
pqntdh2k,5,6r6acce7,8,display_matches_narrative,Task,1605553247,1,0,0
pqntdh2k,9,raccuakz,5,survey,Part3,1605553248,1,0,0
bnwhita6,10,vfvk3rlg,16,outro,Feedback,1605553250,1,0,0
bnwhita6,2,ixyuw6pl,9,ios_discrete_pictures,Intro,1605553252,1,0,0
morw9hf0,5,l73tpu9u,7,display_matches_narrative,Intro,1605553253,1,0,0
pqntdh2k,5,6r6acce7,9,ios_discrete_pictures,Intro,1605553255,1,0,0
